2025-04-26 00:39:41 | Sistema | Inicialización | ÉXITO | Inicializando sistema con datos por defecto
2025-04-26 00:39:41 | Sistema | Serialización | ÉXITO | Datos guardados correctamente en datos_taller.bin
2025-04-26 00:39:41 | Sistema | Hilos | ÉXITO | Iniciado hilo de monitoreo de órdenes
2025-04-26 00:40:21 | Sistema | Hilos | ÉXITO | Detenido hilo de monitoreo de órdenes
2025-04-26 00:40:21 | Sistema | Monitor Órdenes | ERROR | Hilo de monitoreo interrumpido: sleep interrupted
2025-04-26 00:40:33 | Sistema | Deserialización | ÉXITO | Datos cargados correctamente desde datos_taller.bin
2025-04-26 00:40:33 | Sistema | Carga de datos | ÉXITO | Se cargaron los datos del sistema correctamente
2025-04-26 00:40:33 | Sistema | Hilos | ÉXITO | Iniciado hilo de monitoreo de órdenes
2025-04-26 00:40:39 | Sistema | Hilos | ÉXITO | Detenido hilo de monitoreo de órdenes
2025-04-26 00:40:39 | Sistema | Monitor Órdenes | ERROR | Hilo de monitoreo interrumpido: sleep interrupted
